,city,country,latitude,longitude,temperature
129,Maastricht,Netherlands,50.85,5.68,8.63
130,Madrid,Spain,40.4,-3.68,11.19
131,Magdeburg,Germany,52.13,11.62,8.26
132,Makiyivka,Ukraine,48.03,37.97,8.7
133,Malatya,Turkey,38.37,38.3,14.13
134,Malmö,Sweden,55.58,13.03,7.33
135,Manisa,Turkey,38.63,27.44,15.1
136,Marbella,Spain,36.52,-4.88,17.19
137,Marseille,France,43.29,5.38,14.98
138,Mazyr,Belarus,52.05,29.27,6.25
139,Messina,Italy,38.2,15.55,16.54
140,Metz,France,49.12,6.18,8.88
141,Milan,Italy,45.47,9.21,6.65
142,Minsk,Belarus,53.9,27.57,5.28
143,Montpellier,France,43.61,3.87,11.11
144,Mulhouse,France,47.75,7.35,6.68
145,Murcia,Spain,37.98,-1.13,15.0
146,Nice,France,43.72,7.27,8.82
147,Nis,Serbia,43.33,21.9,9.36
148,Novi Sad,Serbia,45.25,19.85,10.34
149,Odense,Denmark,55.4,10.38,7.73
150,Ordu,Turkey,41.0,37.87,11.92
151,Orsha,Belarus,54.52,30.42,4.93
152,Oslo,Norway,59.92,10.75,2.32
153,Ostrava,Czech Republic,49.83,18.25,7.66
154,Oulu,Finland,65.0,25.47,1.45
155,Oviedo,Spain,43.35,-5.83,10.85
156,Palermo,Italy,38.13,13.35,17.9
157,Patras,Greece,38.23,21.73,16.9
158,Perpignan,France,42.7,2.9,10.95
159,Perugia,Italy,43.11,12.39,11.7
160,Pescara,Italy,42.46,14.22,15.13
161,Pinsk,Belarus,52.13,26.09,6.42
162,Pleven,Bulgaria,43.42,24.61,10.51
163,Plovdiv,Bulgaria,42.15,24.75,8.27
164,Podgorica,Montenegro,42.47,19.27,9.99
165,Poznan,Poland,52.41,16.9,8.31
166,Prague,Czech Republic,50.08,14.47,8.05
167,Reims,France,49.25,4.03,9.4
168,Riga,Latvia,56.95,24.1,5.16
169,Rijeka,Croatia,45.33,14.45,9.27
170,Rivne,Ukraine,50.62,26.25,6.76
171,Rome,Italy,41.9,12.48,15.1
172,Rostock,Germany,54.07,12.15,8.07
173,Ruse,Bulgaria,43.85,25.97,10.59
174,Salamanca,Spain,40.97,-5.67,11.63
175,Salzburg,Austria,47.81,13.04,4.62
176,Samsun,Turkey,41.28,36.34,12.05
177,Santander,Spain,43.38,-3.8,13.4
178,Sarajevo,Bosnia and Herzegovina,43.85,13.38,9.6
179,Sibiu,Romania,45.8,24.14,6.97
180,Siirt,Turkey,37.94,41.93,12.48
181,Sivas,Turkey,39.75,37.03,8.05
182,Skopje,Macedonia,42.0,21.43,9.36
183,Split,Croatia,43.52,16.47,12.46
184,Stara Zagora,Bulgaria,42.42,25.62,10.9
185,Stavanger,Norway,58.97,5.68,5.53
186,Stockholm,Sweden,59.35,18.1,6.26
187,Sumy,Ukraine,50.92,34.78,6.28
188,Swansea,United Kingdom,51.63,-3.95,9.73
189,Szeged,Hungary,46.25,20.15,10.34
190,Tallinn,Estonia,59.43,24.73,4.82
191,Tampere,Finland,61.5,23.75,3.59
192,Tarsus,Turkey,36.92,34.88,11.21
193,Tartu,Estonia,58.38,26.71,4.36
194,Tekirdag,Turkey,40.99,27.51,13.02
195,Toulouse,France,43.62,1.45,10.25
196,Trabzon,Turkey,40.98,39.72,10.28
197,Trieste,Italy,45.65,13.8,11.21
198,Trikala,Greece,39.56,21.77,16.0
199,Trondheim,Norway,63.42,10.42,4.53
200,Turku,Finland,60.45,22.25,4.72
201,Uppsala,Sweden,59.86,17.64,4.17
202,Valencia,Spain,39.49,-0.4,16.02
203,Vienna,Austria,48.2,16.37,7.86
204,Vigo,Spain,42.22,-8.73,12.85
205,Vilnius,Lithuania,54.68,25.32,5.38
206,Warsaw,Poland,52.25,21.0,7.2
207,Wroclaw,Poland,51.11,17.03,7.17
208,Yevpatoriya,Ukraine,45.2,33.36,10.02
209,Zaragoza,Spain,41.65,-0.89,14.17
210,Zhytomyr,Ukraine,50.25,28.66,6.67
211,Zonguldak,Turkey,41.43,31.78,10.64
212,Zurich,Switzerland,47.38,8.56,6.68
